Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_2.raw	E:\FragPipe\ThyDIA\10ngHela\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ng_DWP_1.raw	E:\FragPipe\ThyDIA\10ngK5\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_5430_DIA10_10ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_6.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_8.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_4.raw	E:\FragPipe\ThyDIA\02ng_K562_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ngK5_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA\Ex_AuLC1_30m_2D19_3_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_DWP_7.raw
A6NKT7	A6NKT7		RGPD3		121244	82510.6	88612.9	128472	505681	516355	440937	525992	476787	619364	420888	622392	480001		463071	694504	691510	640209	628352	638458
A6NNZ2	A6NNZ2		TUBB8B		203362	596909	494417	202552	519747	456391	487865	540988	518777		670638		581972		509173	2.8942e+06		215872		
A8CG34	A8CG34		POM121C		84602.8	133696	135130	92978.8			204714			166589		224023	187502		179606	175882				286083
A8MPS7	A8MPS7		YDJC		44825.3			44898.2	35218.2	41657.4	72434.1	22180.5	25391.7		56498.1		51061.7		50117.3					
A8MT69	A8MT69		CENPX		28379		13658.2	25652.7			43518.1		85999.4		45786.8		42408.8							
A8MV65	A8MV65		VGLL3			2973.19	3456.83																	
A8MWD9	A8MWD9		SNRPGP15		2.26555e+06	1.21827e+06	1.10805e+06	2.22093e+06	2.36702e+06	2.00192e+06	2.20254e+06	2.11329e+06	2.06386e+06	1.42708e+06	2.0527e+06	1.17193e+06	2.13694e+06	1.14495e+06	2.24263e+06	1.19819e+06	1.32559e+06	1.32603e+06	1.32734e+06	1.33649e+06
A8MXV4	A8MXV4		NUDT19		45813.1	43359.8	41333.3	40567.8							73211.4									
A9QM74	A9QM74		KPNA7		157966	10236	72017.9	278003	38542		118775				50791.3		19836.1		99389.2			14835.9		
A9UHW6	A9UHW6		MIF4GD		24306.7			21027.7																
B0I1T2	B0I1T2		MYO1G		84774	383508	374761	68707.9						336968		323525		350549		367051	362275	350065	364593	363602
B2RUZ4	B2RUZ4		SMIM1		48357.8			48099.1		33806.4	33476.7	38262.4	27655.3											
B7ZAQ6	B7ZAQ6		GPR89A			31387	29725.5																	
C4AMC7	C4AMC7		WASH3P		22175	29919.8	28939.3	24900.5	12087.1		18525.1		13066.8	15073.3		37464.9			17002.8			26097.5		
C9J7I0	C9J7I0		UMAD1		26015.1	7703.6	4706.09	13572.8																
C9JLW8	C9JLW8		MCRIP1		32341.6	6023.16	4778.46	33458.9				17136.3					31297.4							
C9JQL5	C9JQL5				62319.1		15292	49517.7																
E9PAV3	E9PAV3		NACA		1.06576e+06	568195	562166	1.06848e+06	1.60055e+06	1.81498e+06	1.74022e+06	1.89226e+06	1.94549e+06	1.34461e+06	1.68827e+06	1.16713e+06	1.93851e+06	1.30659e+06	1.54969e+06	1.22747e+06	1.35256e+06	1.21245e+06	1.20633e+06	1.33614e+06
E9PRG8	E9PRG8		C11orf98		213962	149768	133749	195455	333164	293415	367267	320865	292108	311942	305110	312076	314945	314157	345377	313503	271486	287341	228772	271394
L0R6Q1	L0R6Q1		SLC35A4		94642.3	108305	118231	86267	118842	120454	129653	117515	103296	129890	139308	133420	128565	126435	133533	107611	115863	124876	118096	105471
L0R819	L0R819		ASDURF		47320.3	42419.8	48483.1	41651.4		29739.2	34534.6	35113.4		9634.3	25544.5		31848.3		43430.7					
L0R8F8	L0R8F8		MIEF1		31739.9	51319.3	23735.8	32695																
O00115	O00115		DNASE2		101070	179527	165851	97556.5	50964.9	81258.6	97124	59454.1	56582.1	163565	83699.4	199794	94195.2	96683.9	80056.1	188627	167369	182967	170712	182629
O00116	O00116		AGPS		135058	175130	183497	139003	142073	129171	138893	152217	135525	141948	122521	133796	161627	130237	129127	152714	151333	151681	171475	162558
O00139	O00139		KIF2A		405190	277729	283097	400208	391603	364781	362920	390082	377222	228617	370281	209076	364491	213582	372863	235338	230620	210065	241211	224599
O00148	O00148		DDX39A		4.42389e+06	3.45118e+06	3.2156e+06	4.25756e+06	4.17975e+06	4.25234e+06	4.0403e+06	4.2738e+06	4.23387e+06	3.53684e+06	4.25791e+06	3.10516e+06	4.22656e+06	3.22443e+06	4.15388e+06	3.18872e+06	3.16215e+06	3.27211e+06	3.53147e+06	3.30068e+06
O00151	O00151		PDLIM1		1.06896e+06	187700	199260	939531	1.11143e+06	1.12319e+06	1.06902e+06	1.04684e+06	1.01508e+06	184156	1.04407e+06	219227	1.02978e+06	208215	1.0518e+06	232129	213755	243382	224352	223980
O00154	O00154		ACOT7		319133	236514	272744	312178	446364	426630	468752	404808	424566	336206	445750	351813	434267	367525	432144	384455	357532	383295	367327	369164
O00159	O00159		MYO1C		44419.2	291415	286308	38253.4						338282		367349		338833		337193	371525	328977	363562	362997
O00161	O00161		SNAP23		115489	45188.2	52880.5	98548.7	161822	186643	168940	181908	194128		166998	53666.5	161072	95703.5	167076	103928	102662			86728.5
O00165	O00165		HAX1		122031	118627	106803	122829	42022.2	64596.6		116621					36209.4		102608					
O00170	O00170		AIP		388844	417396	421635	296024	281534	267521	278890	261033	246440	293081	219106	306378	213936	231569	219523	282337	260105	225813	275546	295137
O00178	O00178		GTPBP1		94683.5	47058.1	52778.2	87757.8	158941	166987	164023	164914	173115	64110.5	179228	174665	169827	106953	186731	138794	109895	98632		120051
O00186	O00186		STXBP3		87412.7	140129	138417	88438.7	68420.2	76132.9	65150.9	71080.4	68005.9	105937	61985	88316.8	83487.8	94468.5	85051.2	115151	113659	103594	87361.1	123558
O00189	O00189		AP4M1		118215	130692	117444	80931.1																
O00193	O00193		SMAP		9579.95	42268.2	46192.2																	
O00203	O00203		AP3B1		329580	350984	364463	313405	380747	365811	348293	341080	345522	390818	396601	343360	360088	418081	358769	376932	425279	437796	408484	427675
O00214	O00214		LGALS8		30491.3			23002.3									5768.73							
O00217	O00217		NDUFS8		172767	255580	254177	195672	115902		308852	133746		132196	243242	129878	203605	138913	262031	127307	167694	170834	216743	189020
O00220	O00220		TNFRSF10A		7062.08	23191.1	31218.8	9178.98																
O00221	O00221		NFKBIE		22450		9065.01	22319.2																
O00231	O00231		PSMD11		1.17623e+06	609779	559133	983877	1.27448e+06	1.23201e+06	1.23466e+06	1.25746e+06	1.23891e+06	780973	1.21103e+06	771310	1.22621e+06	780547	1.21106e+06	767438	749105	766695	768609	763769
O00232	O00232		PSMD12		368094	293149	309687	367201	405112	420008	477513	455985	441402	327536	501644	282957	494369	366382	501753	354869	337885	384178	383831	394520
O00233	O00233		PSMD9		370503	314712	315018	322313	433209	453599	401483	461225	459889	365628	408279	396064	440388	387146	423883	363295	371522	347372	333900	376281
O00244	O00244		ATOX1		407768	286468	306987	381811	351999	344660	310119	372682	300152	207895	304870	284452	320471	247674	382545	248500	203806	240139	253738	259181
O00255	O00255		MEN1		127597	69175.6	129923	141039	107709	93468.7	107734	100130	98415.1		93972.2		83087.2		115048					
O00264	O00264		PGRMC1		121902	1.2187e+06	1.21541e+06	121310		107776		91040.2		717697		660734	103273	647353	111247	718610	792374	846924	893633	841716
O00267	O00267		SUPT5H		395917	257097	254167	370148	435615	421994	452057	423371	422767	265682	431684	271668	446326	278601	402833	267140	291222	282761	327290	277680
O00268	O00268		TAF4		11026.8	8587.83	7750.87	9390.29			7474.12													
O00273	O00273		DFFA		221662	148883	159871	236559	297602	282068	283014	277192	309522	236896	311122	162941	271585	182592	318204	185977	165504	158751	172218	187759
O00291	O00291		HIP1		16584.2	18321.2	15770	16835.7							13561	15869.5	10325.4							
O00299	O00299		CLIC1		7.06472e+06	1.94931e+06	1.84642e+06	7.53765e+06	1.11365e+07	1.04644e+07	1.03543e+07	1.04347e+07	9.68875e+06	2.59653e+06	1.04492e+07	2.56821e+06	9.52277e+06	2.50505e+06	9.78372e+06	2.3881e+06	2.41957e+06	2.52121e+06	2.38544e+06	2.39398e+06
O00303	O00303		EIF3F		794871	445518	509305	598007	795490	800003	805808	773601	745754	537156	822848	562617	802082	649129	823530	688770	665170	635549	578804	680208
O00311	O00311		CDC7		22768.5	4899.06	8447.43	17218.6																
O00330	O00330		PDHX		96918.4	94526.4	85066.2	80907.2	128874	177081	116187	109340	174679		80258.3	100484	83579.8		91834.7	175824	173139			132643
O00399	O00399		DCTN6		21124.1	21801.4	20423.8	16697.3		52242.1	51414.5	52725.1	25174.1	61596.8	35668.6	52147	38420.1	58236	38936.5		45142.4			42136.4
O00400	O00400		SLC33A1		1589.2	39492	40894.9	1412.86												19712.5				
O00401	O00401		WASL		38363.2	51641	60746.5	60477										183393		175693			126826	
O00410	O00410		IPO5		511718	520896	490905	499546	708634	655056	662053	696791	672070	664727	619134	757528	651793	785711	639954	764671	683758	713271	684743	690639
O00411	O00411		POLRMT		61914.9	29279.6	29232.5	59248.2			80674.2													
O00418	O00418		EEF2K		172491	105985	125607	151931			198803	192848					201295							
O00422	O00422		SAP18		2.60692e+06	2.33688e+06	2.18853e+06	2.55876e+06	3.048e+06	2.69769e+06	3.02846e+06	3.00873e+06	3.0078e+06	2.64337e+06	3.15966e+06	2.49565e+06	3.17429e+06	3.30792e+06	3.53699e+06	2.86386e+06	2.79818e+06	2.83283e+06	2.88444e+06	2.78392e+06
O00425	O00425		IGF2BP3		559687	428546	433230	561783	648968	620031	635698	655127	649848	434821	647644	442939	642306	424666	662977	446833	416018	463982	441370	412261
O00429	O00429		DNM1L		326555	376999	416829	313996	315349	331447	307482	324153	347375	393236	321058	389570	336758	386584	356975	400571	369024	365450	382563	368928
O00442	O00442		RTCA		90684.3	83161.3	85965.9	108563	124661	107741	100488	118025	126605	63055.8	96888.3		131680	77888.6	120520	36835	56752.2	58021.2		58768
O00443	O00443		PIK3C2A		4419.2	8422.83	8847.77	4259.69																
O00458	O00458		IFRD1		12211.6	45512.1	57472.3	10574.4						28319.7							37866.2	38214.1		43371.2
O00459	O00459		PIK3R2		58435.7	45870.8	50032.4	57580.5			89117.3													
O00461	O00461		GOLIM4		65675.9	77174	73255.4	58291.1	27482.4	70849.8	42745.5		38208.7		23959.4				36449.5		56794.9	44066		
O00468	O00468		AGRN		3036.89	7657.15	7851.73																	
O00470	O00470		MEIS1		33230.4	15664.7	12110.4	30448.5																
O00471	O00471		EXOC5		38311.7	40467.7	37105.9	29688.2			40805.7	24958.9			28255.8		44764.5		26314.5		46811.9	68000.9		23527.4
O00483	O00483		NDUFA4		183712	325279	327745	178572	177566	189288	177529	182999	158238	386388	140945	318953	161770	335167	167535	355080	337326	324512	288801	349117
O00487	O00487		PSMD14		1.20774e+06	471382	528875	1.20329e+06	1.25645e+06	1.21827e+06	1.29491e+06	1.2651e+06	1.18913e+06	503406	1.3589e+06	461335	1.41164e+06	625448	1.44183e+06	413181	538875	529270	579076	589140
O00488	O00488		ZNF593		41671.7	45562.3	38317.3	31880.4																
O00505	O00505		KPNA3		125731	142391	123953	133507	178156	174200	178197	154562	160290	130570	165468	122379	157321	149610	170328	118385	158935	144642	105516	93934.1
O00534	O00534		VWA5A			86125.8	85660.2	19847.2						86333.1		84147		52338.7		78365.2			118517	85401.2
O00541	O00541		PES1		314794	319933	307231	268947	459418	463669	448427	460526	480683	445524	432743	503006	491388	503162	481977	448936	460884	488870	493565	484792
O00560	O00560		SDCBP		23481.4	17925.4	15986.2	24744.6	11066													11335.1		
O00562	O00562		PITPNM1			18053.4	18438																	
O00566	O00566		MPHOSPH10		515470	417196	443106	638942	1.23984e+06	844361	1.16443e+06	791397	1.2001e+06		998915		1.12948e+06		1.11432e+06					
O00567	O00567		NOP56		271214	944309	951720	255075	323456	358957	313849	332363	301355	1.04809e+06	320936	1.13667e+06	333602	1.07035e+06	323251	1.08436e+06	1.10544e+06	1.11197e+06	1.06122e+06	1.13195e+06
O00571	O00571		DDX3X		1.01815e+06	1.3121e+06	1.22271e+06	880320	888017	827677	852066	887291	806558	979897	877295	956311	883221	966714	895560	947689	950745	979792	927325	946811
O00584	O00584		RNASET2		21767.7	3300.32	7173.81	22729.2	29428.8	32949.9	41812.3	37754.4	46396		41568.6		29055.8		21439.4					
O00592	O00592		PODXL			1.25576e+06	1.33321e+06							1.13577e+06		1.29071e+06		1.17132e+06		1.28301e+06	1.25494e+06	1.21485e+06	1.19792e+06	1.2187e+06
O00625	O00625		PIR		75204.3	325130	325887	69900.3	82503.5	85923.2	62337.6	88340.6	86283.2	385019	83559.1	345800	73693.3	456533	79178.2	470113	380067	418624	469254	459016
O00628	O00628		PEX7		24220.1			18339.5																
O00629	O00629		KPNA4		224267	178221	169772	289451	389495	316824	431735	384544	380710	363370	425735	414613	360492	323573	281465	302958	360595	360803		306550
O00635	O00635		TRIM38		5950.75	5702.22	4435.2	4180.72																
O00712	O00712		NFIB		31109.9	69104.4	74550.7	25534.6				11396.4				44042.3		242847			61383.2	328551	58056.3	63001.3
O00716	O00716		E2F3		19830.4		18099	22000.8																
O00743	O00743		PPP6C		88185.7	115116	122150	91510.4	130064	93524.5	119949	84742.1		115367	120392	147485	141012	133401	116117	184753	174852	130932	125051	193420
O00750	O00750		PIK3C2B			10729.7	10385.7																	
O00764	O00764		PDXK		352915	462058	458314	339271	362443	355507	386459	330557	312979	394783	388396	416245	384565	434274	356950	418939	391979	379421	459063	460084
O00767	O00767		SCD		17701.1	137258	145561	9374.33			30315.8			139857		160532		134480		137702	108045	124973	138895	143091
O14497	O14497		ARID1A		199543	62449	63217.6	218587	178138	172642	165871	191221	135938		161029		156658		173712					
O14519	O14519		CDK2AP1		211315	81654	79416.5	204749	278676	323831	264553	329313	262733		230624		293741		289278					
O14521	O14521		SDHD		925778	919590	972264	802877																
O14526	O14526		FCHO1		2461.57			10909.7																
O14530	O14530		TXNDC9		263812	64282.5	103376	223171	228407	238672	234569	239193	243559	51364.3	229695	77261.2	242115	103818	234787	97881.4	80504.3	70964.6	124456	64063.7
O14545	O14545		TRAFD1		143799	43764.5	37600.1	150842	119469	87463.5	92260.7	95584.6	89238.8		95110.7		84465.4		85383.6					
O14548	O14548		COX7A2L		106021	210749	231121	96092.5	168134	158490	154512	139106	139412	222821	124643	214166	171879	142736	150574	176117	184934	214621	193915	173714
O14561	O14561		NDUFAB1		155951	128804	148461	185305	51065.3	35320.6	138563	66556			108920		114415		123663		36981.2	56296.9		36315.8
O14562	O14562		UBFD1		36506.1	77185.2	105614	37080.4	87148.1	46854	212111				130899		105656		176471			80978.5	134874	120053
O14578	O14578		CIT		22828.8	12655.6	12638.5	22058.6																
O14579	O14579		COPE		547862	246389	355459	423409	566270	744302	458430	541313	574915	399908	345917	379873	312778	400720	276515	459086	433557	327518	422000	386258
O14617	O14617		AP3D1		98371.2	139965	151532	95713.3	178212	106230	156087	138051	117257	124003		136154	96987.6	111264	147652	126161	124541	119051	173651	129005
O14618	O14618		CCS		159830	170305	174865	140920	272392	262849	231858	221898	240448	365106	199756	184333	209316	241606	202369	296438	186157	233494	298954	213180
O14639	O14639		ABLIM1			22597.4	24685.1																	
O14641	O14641		DVL2		18554.6	10410.4	7657.46	17151.6			17556		16001.1		18476.8									
O14646	O14646		CHD1		152121	114097	126761	163654	176965	150923	174606	140233	195759	161884	188215	123687	181961	166658	172061			164926	181203	149493
O14647	O14647		CHD2		5674.44	26077	22803.8																	
O14653	O14653		GOSR2		24525.2	33356.3	34859.6	24534.7																
O14656	O14656		TOR1A		37107	212430	218747	133048								297532						73977.6	542877	
O14657	O14657		TOR1B		62692	98418.6	98171.3	58051.1				99460.2				139215		129537			128535			
O14662	O14662		STX16		8392.29	10453.4	11514	9806.09	15354.2	11053.9						10263.4				11266.8	7176.06			
O14672	O14672		ADAM10		19111.3	22443.7	23225.8	17535.9																
O14684	O14684		PTGES			743173	812828							538290		476339		557918		516726	443541	493327	462046	515594
O14686	O14686		KMT2D		14509.8	3642.55		13652.7																
O14730	O14730		RIOK3		36088.5	68704.7	65116.6	37936.8							31374.3			35484.1			23122.1	27108.4		
O14732	O14732		IMPA2			299491	259005							382953		419502		437142		400158	428079	423920	390889	407285
O14733	O14733		MAP2K7		125170	115842	111533	144088	121608					74690.6	61950.5									
O14734	O14734		ACOT8		21981.9	48182.8	44716	24978.1																
O14737	O14737		PDCD5		1.07826e+06	609663	633292	1.00258e+06	1.21096e+06	1.31683e+06	1.14774e+06	1.25647e+06	1.29348e+06	874256	1.25469e+06	852132	1.19779e+06	923152	1.12356e+06	836372	897081	815455	919998	837981
O14744	O14744		PRMT5		1.04664e+06	847007	792372	1.05417e+06	1.11651e+06	1.18044e+06	1.15355e+06	1.16436e+06	1.17146e+06	843717	1.18367e+06	736242	1.14885e+06	785394	1.1769e+06	754851	758479	747188	811844	805687
O14745	O14745		SLC9A3R1		246499	354756	341211	239091	313039	282429	312197	288486	278400	370160	296285	382767	313927	364589	305188	355454	396002	403260	389178	355627
O14757	O14757		CHEK1		112312	28592.4	32811.4	142439	133727	125884	164497	169591	125830				88245.8		91652.8					
O14773	O14773		TPP1		101726	177458	188354	103432	46916.3	29341.6	42105.5	36661.6	41458.2	93127.6	47600.8	94378.2	34883.5	97897.5	51569.1	109479	101255	125038	84709	89687.5
O14776	O14776		TCERG1		1.25802e+06	799126	823898	1.26832e+06	1.118e+06	1.15578e+06	1.07783e+06	1.12755e+06	1.18574e+06	698464	1.14279e+06	673485	1.18198e+06	603823	1.18811e+06	652426	755723	779350	790853	717087
O14777	O14777		NDC80		214530	52751.3	63078.3	203417	306480	322770	298787	324176	293114		338825		297333		287975					
O14787	O14787		TNPO2		113554	69314.6	63723.4	97694.5	109787	123261	76366.2	106056	123683	65799.2	67514.6		68930.6	61305.1	58916.3	61767.6	31074.1		60264.2	35208.5
O14802	O14802		POLR3A		89748.7	86091.1	83176.6	87087.8	215383	193209	237714	217580	194317		240583	211709			173178	209534				
