Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA100_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath2_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_8.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_7.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_6.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_5.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_4.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_2.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_1.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIASwath_02ng_3.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk.raw	E:\FragPipe\ThyDIA\02ng_Hela_DIA_15m\Ex_AuLC1_15m_2D19_4_20um30cm_SPE50_15118120_OTOT_11860_DIA50_02ng_blk2.raw
O14737	O14737		PDCD5		62266.1	53676.6	54042.7	58561	60522.2	56149.6	64859.1	76262.6	61095.9	81994.3	77120.9	81711.2	76299.6	69778.3	63396.5	78231.3	64484.6	67764.3	71979.1	69429	49622.4	47300.6	51599.5	46655.6		
O14744	O14744		PRMT5		82654.2	79395.1	78030.6	83884.3	74065.6	76648	80154.9	79000.9	80911.3	78374.1	77881	80885.3	86911.5	83956.2	85608	86461.5	87889.3	82115.6	91538.1	86062.5	73409.1	80526.3	86414.4	81349.3		
O14818	O14818		PSMA7		190503	185697	178572	188724	178807	180876	209527	150556	198053	145768	157447	157064	155069	151037	148083	156850	152065	156704	149698	157473	146622	142462	139226	142831		
O14828	O14828		SCAMP3		30321.4	29522.3	29862.5	30410.8	34899.2	33810.2	31832.3	34419.1	33687.7	30853.4	35278.4	28606	32596.5	31559.3	38549.3	28093.6	33860.3	33225.3	29866.1	30497	30607.6	33115.3	31074.6	29588.4		
O14950	O14950		MYL12B		95101.5	68351.9	108335	110772	54630.3	77088.4	87146.6	81447	107806	99637.8	105862	107924	112001	113189	113782	115338	127398	76638.6	148574	95503.9	78812.4	102598	126923	95139.4		
O14975	O14975		SLC27A2		63874.8	63738.1	65924.1	63423.6	61692	77203.2	67600.2	84873.2	66231.7	83114.7	83255.8	74161.4	74124.6	70639.5	77166.9	79084.6	76143.9	77790.5	79249.2	73349.1	80640.8	88643.7	89732.4	87999.8		
O14979	O14979		HNRNPDL		298531	301981	310003	299594	320660	312867	321938	253595	342698	248571	253192	236594	271804	264846	262050	247312	275702	270200	249718	268597	211087	221804	241723	238271		
O14980	O14980		XPO1		72943.8	72155.3	72596.1	69413.3	66859.9	65552.7	75705.7	68046	69807.1	71110.7	71393.6	69286	74270.7	74484.5	70670.4	67681.8	77143.6	67448	74074.7	75875.1	64811.9	61905.3	67166.3	65928.5		
O15067	O15067		PFAS		30423.5	29146.5	28858.9	30825.3	31967	27634.6	31605.4	33682.3	34273.2	36770	32776.3	37367.4	32892.3	30226	35775.3	32843.7	33680	33516.9	26729.2	31562.8	37673.2	35599.7	40345.6	33019.1		
O15069	O15069		NACAD															108529			129562			96207.6						
O15131	O15131		KPNA5		25349.6	18315.9	25046.3	23383.2	14046.8	23066.3	19298.3	22226	17897.4	26212.1	24425.2	22846	23670	21685.7	22847.2	22536.1	20175.9	24675	18389.4	22659.7	20836.1	12080.4	19273.9	18924.4		
O15143	O15143		ARPC1B		29299.5	31567.4	30139.9	26382.3	26906.1	28640.9	25266.8	29528	24955.8	31723.1	22875.6	24929.4	28816.9	29332	29994.8	32166.3	29539.6	33052.7	31318.8	29789.6	25064.5	32520.7	27370.3	29356.2		
O15144	O15144		ARPC2		34991.5	35349.4	33723.6	32753.7	34097.8	34549.4	34587.5	53902.5	30019.1	51885.9	54283.9	54318.4	46772.9	48168.3	42305.2	42546.1	44782.2	42846.7	39935.6	44039.4	38817.4	40263.9	41115.7	36325.6		
O15173	O15173		PGRMC2		62410.8	64432.8	59424.5	62325.7	62673.3	60706.5	63358.5	67188.6	65807.6	65954	66383.7	64474.8	69935.9	74939	77918.6	70832.9	72119.5	76787.9	72774.9	75697.4	62391.4	60483.8	60690.8	62498.7		
O15212	O15212		PFDN6		62779.3	61636.1	68484.6	60114.7	51102.3	51090.1	50123.3	58655.6	47676.9	56050.9	60644.4	49411.8	54281.8	49540.7	51555.3	52837.2	55189.3	51763	50623.9	50496.8	50564.3	55125.5	55107.9	47832.6		
O15260	O15260		SURF4		8965.39	6184.47	8076.06	9048.87		3988.21		5789.32		5353.51	2106.52	3792.83	8896.84	8260.52	7983.88	8845.71	6424.02	7009.11	5945.21	6875.9		3814.62				
O15305	O15305		PMM2		24645.2	27191.6	25273.6	26286.7	21336.7	22223.2	25168.4		23292.2	20631.8	20414.2	19042	15663.7	15296.1	15156.1		18497.2	17667.3	19653.2		18306.1	22155.6		19627		
O15347	O15347		HMGB3		87319.3	84256.9	77241.4	82350.7	75014.2	75760.6	77209.9	67955.9	75048	77655.3	70111	74026.8	80306.9	83022.9	91599.6	87996.7	87510.2	80292.3	85598.7	81338.1	72364.7	69516	73296	72577.7		
O15355	O15355		PPM1G		40339.7	43291	36226.7	38300.8	43425.6	42449	33010.9	40413.9	41444.7	48315.3	42241.6	36502.1	56449.8	52200.1	53443.8	50916.8	51284.1	53691.8	47779	46761.7	45967.4	48056.8	42980.8	42223		
O15371	O15371		EIF3D		19741	21464	18850	22154.5	19803	20234.5	18447.5	17052.6	22306.3	19344.9	18184.7	19390.9	15203.8	15999.2	15109.2	18160.5	15734.4	16373.4	17799.2	16651	14081.9	17563.1	15673.2	14732.5		
O15511	O15511		ARPC5		54531.2	53554.3	61096.4	56664	52093.4	49616.2	64472.5	60422.4	55062.4	63554.3	61751.7	58763.5	71289.3	71183.6	70669	70617.1	69197	65195.1	70349.2	74835.5	57471.7	61551.3	62964.6	68908.1		
O43143	O43143		DHX15		42327	39530.2	37364.8	38855.7	37781	43598.2	34805.9	32251.8	37979.4	33873.1	33372.2	29699.9	38843.6	40203.1	38173.6	40087.5	41854.2	38732.7	38174	39959.5	32341	29975.1	28297.2	35306.2		
O43169	O43169		CYB5B		21451.4	21840.9	18998.7	17066.4	24197.3	23472.2	22110.2	22931.1	17873.5	26361.7	26940.1	23805.7	21266.3	18833.8	18422.2	19006.4	19115.5	22360.1	19591.3	18081.8	24540.9	28124.8	22622.5	26765.2		
O43175	O43175		PHGDH		463563	467664	464574	476316	443758	456124	477905	452432	489388	449580	460980	455837	450003	423177	445878	445755	460178	425274	449766	450684	473496	468626	497752	463534		
O43242	O43242		PSMD3		29598.3	28647.2	29697.7	25524.6	28597.3	27046	28486.4	24761.7	31509.9	25723.5	25225.5	26075.3	23714	24367.2	26998.1	23663.6	25831.4	23330.5	25643.5	26477	28438.4	33416	28080.6	28578.5		
O43286	O43286		B4GALT5		19229.7	21496.1	21933.4	22789	27166.4	26721.8	25480	21226.2	24738.1	22219	19964.7	21705.7	19493.7	23095.4	16861.5	16978.4	17206.9	22145	21431.6	16355.7	20699.2	20379.8	20821.9	25895.3		
O43324	O43324		EEF1E1		23469.4	20209.5	21916.8	24892.1	20002.4	19954.6	20789.8	20812.5	24471.3	18558.1	16015.8	19661.9	17643.4	16379	15865.9	17158.7	19463.4	16633.1	13741	16643.3	14896.9	17456.7	11017.6	14783.7		
O43390	O43390		HNRNPR		133508	135114	142810	146323	136086	125908	132147	127508	139277	128996	133043	141239	146748	151816	146620	155621	147993	136239	149339	141123	130131	134939	150325	133654		
O43399	O43399		TPD52L2		154049	162286	153078	157242	154844	155458	151910	171314	163058	182962	177047	168036	155992	148309	153138	150251	152333	149717	154147	151548	154117	150200	158242	158398		
O43583	O43583		DENR		29002.1	31584.4	28904.8	29872	36752.2	39639.5	29804.2	44962	30956	45374.5	42294.1	42352.8	22367.9	24177.5	24065.4	24338.5	25804.7	24571.7	23899.2	24015.4	45989	41277	38052.3	45660.1		
O43615	O43615		TIMM44		17751.8	13411.6	14653.8	14214.5	19292.7	14611.3	13020.8	12654.2	16669.8	12140.8	15305.6	13233.6	14608.8	11915.7	12418.6	13072	11490.9	9807.87	9584.8	11662.4	11584.8	12321.4	13745.1	13557		
O43653	O43653		PSCA			63384.4			70522.6			48949.3		52807.2	48077.2	53866.5		53352.1	59410.5	52482.8		56335.2	54028.8	51790.7	33842.5	30138.8	35511.7	29655.8		
O43670	O43670		ZNF207		103164	108160	108130	110747	113245	109457	114959	95376.5	118024	94536.3	93934.1	88099.7	96970.3	91713.5	93376	95918.4	95381.8	98555.9	97204	91814.8	92857.7	104339	96327.6	91265.8		
O43681	O43681		GET3		50447.1	46403.3	48312.7	46423.7	48950.4	53908.4	49080.2	59169	49293.4	58288.1	54597.5	60373.6	59732.8	55734.6	58423.7	58182.5	59465.9	54478.4	58818.6	59363	77399.9	69676.2	72255.9	77969.3		
O43684	O43684		BUB3		49425	53430.2	47215.9	45798.5	49603.8	48577.8	51694	48607.4	47485.2	52401.1	50207	50396.2	44783.2	48133.6	47937.9	46126.7	51612.6	46258.6	47425.8	55574.2	61700.6	54870.2	52195.5	66716.5		
O43707	O43707		ACTN4		312399	317977	315198	315661	291329	289555	300997	308022	317988	314200	301950	298868	322700	318030	314815	325596	318362	331265	327009	322879	295872	291375	302601	296547		
O43776	O43776		NARS1		153695	162400	142620	144835	170279	166020	174700	157865	164235	161433	158916	151178	133244	133601	139228	136920	136615	134099	137192	143944	151284	149198	142431	151245		
O43852	O43852		CALU		78382	75589.5	80260.2	74244.6	77081.4	71234.5	79510.6	72842.1	75012.7	71262.4	76229.3	77372.8	83692.4	80213.6	87258.7	77440.3	79663.4	81814.1	79480	82662.6	79964.6	76472.8	78633.9	80361.8		
O43865	O43865		AHCYL1		332272	320896	319383	344074	347967	365863	303030	234145	331731	278182	265154	177080	243420	264410	251552	250434	257594	273116	254831	255119	327798	241075	170418	255666		
O60264	O60264		SMARCA5		47697.3	47976.5	49305.4	48266.1	39382.5	45643.2	53526.5	42289.8	48677.1	46384.2	43847	44466.6	37499.9	35476.5	37304.7	37206.9	38794.5	39506.1	37590.1	38797	48992.6	45936	37869	40194.6		
O60506	O60506		SYNCRIP		197195	177582	195461	200116	186289	179675	177936	189328	179979	199001	205733	209433	208765	214227	205230	216133	220705	192183	221715	202868	186367	201052	205507	203655		
O60664	O60664		PLIN3		148522	151692	146074	158131	136526	121510	139326	133213	145695	135859	139345	145539	138391	144789	149471	146315	136529	142142	149267	142754	119294	132587	129582	132483		
O60701	O60701		UGDH		36084.7	35972.7	35891.2	44593	39951.6	40247.2	40467.1	30497	38383.3	34115.5	29604.1	34710.1	38585.2	35497.1	34003	35865.9	35365.2	34969.8	34657.9	37708.2	28503.3	30474	35433.6	25300.1		
O60739	O60739		EIF1B		30367.5	28687.2	23544.7	25482.4	30163.1	34309.3	33146.2	35817.2	27037	36633	37781.6	37086.5	26619.9	21713.7	22874.3	24943.3	22440.5	21690.5	25207.5	24345.4	37482.5	31046	32458.5	32667.5		
O60749	O60749		SNX2		37256.2	44125.4	35629.1	37293.8	38098.4	40042.7	38976.2	33812.1	41089.4	37388.9	30750.8	32810.9	36364.2	46435.8	40714.2	40730.7	37721.2	40130	39501.2	44279.4	24796.5	27176.5	26885.5	27603.4		
O60762	O60762		DPM1		15417.9	12911.3	15074.1	13616.1	14807.4	14356.4	15020.8	10645.6	14726.6	9792.5	10132.5	11972.2	9636.66	9861.09	10852.8	9404.57	10430.7	10923.9	9487.59	9165.6	12295.3	8672.39	11182.9	12554.5		
O60814	O60814		H2BC12		1.85191e+07	1.83901e+07	1.79941e+07	1.73346e+07	1.91562e+07	1.89256e+07	1.8902e+07	1.84072e+07	1.89109e+07	1.74239e+07	1.73925e+07	1.71367e+07	1.68218e+07	1.66029e+07	1.71959e+07	1.69802e+07	1.684e+07	1.7374e+07	1.68665e+07	1.72055e+07	1.89241e+07	1.85993e+07	1.74142e+07	1.88439e+07		
O60832	O60832		DKC1		63421.7	64220.7	68409.3	66494.6	71144.7	68334.1	75779.8	63153.4	67828.7	61524	54097.4	53586.3	63474	57684	61504.6	58687.6	65282.7	60827.7	55150	56349.7	57792.5	53180.5	61871.6	60484.1		
O60841	O60841		EIF5B		46352.1	48192.4	54765.7	44099	48617.8	45571.1	47939.8	47358.7	45600.8	51357.6	46812.2	51640.4	49494.3	45280.6	45902.3	46573.7	46151.8	40907.3	43510.5	41172.2	49851.3	52875.5	50799	47908		
O60869	O60869		EDF1		65772.3	62170.4	62687.8	64582.6	65168.4	67769.2	64243.9	72302.2	69482.6	80456.3	81210	71659.5	69703.7	75830.5	73473.8	72447.5	71053.1	69297.3	72648.8	74157.1	73733.7	75366.6	72378.2	71388.1		
O60884	O60884		DNAJA2		24630.5	24144.7	21266	20070.6	24370.9	21264.6	21309.3	20989.2	21611	23326.6	22587	21856.7	18485.7	14504	16106.6	19125.3	15863.9	19321.6	18555.3	14973.1	28264.8	22441.3	24536.9	24938.2		
O60888	O60888		CUTA		53549.6	48207	50000.8	51808.1	49717.4	46029.2	39696.6	58267.9	40022.2	55293.5	56719.8	51983.7	55446.5	45596.9	49147.2	47519.3	48192.9	49571.6	48880.8	52099.8	50676.7	45041.5	47971.8	41992.3		
O60925	O60925		PFDN1		53516.3	53568.4	46963.8	50308.3	58048.4	59069.3	57003.7	52080.1	53157.8	29853.8	60936.4	59226.7	40867.4	34292.2	51000.1	42128.2	36128.4	43568.4	41310.6	34327.2	46461.9	46928	43271.2	43353.5		
O75083	O75083		WDR1		102674	97631.8	106593	103110	106614	123717	109546	79698.5	104804	91272.5	85012.3	81918.4	104830	111433	104240	110077	116277	111091	103070	106676	82655	84034.4	87309.1	80616		
O75131	O75131		CPNE3		20803.7	20444.3	20855.9	18052.6	22817.9	23792.7	23326.3	27539.6	18029.8	23869.5	18914.6	23817.1	20671.9	20804.3	22725.3	20796.6	20712.5	18624.2	21117.1	20306.8	26670.7	28617.1	25054.5	22310.8		
O75223	O75223		GGCT		25180.8	21541.7	20491.5	23972.2	20732.5	21355.3	25673.1	15346.3	22515.1	15621.3	17369.3	16978.9	23971.2	26505.7	22956.4	23143.7	26797.1	23103.5	24845.6	23729.1	22488.1	21406	19821.3	23869		
O75306	O75306		NDUFS2		12910.8	10771.3	13980.6	11557.3	12557.2	8659.82	11585.6	14805.9	9995.97	13118.7	13859	16196.5	14466.3	12540.6	14841.4	14531.3	10937.9	13867.4	12989.6	12680.6	10736.9	10805.6	11636.8	11476.9		
O75340	O75340		PDCD6		38467.7	31203.3	48398.7	51025.9	15887.9	22877.2	37666.2	31933.5	49138	29933.5	35425.8	44125.9	28345.3	36274.1	32379	39518.6	42056.2	23240.8	47898	31295.5	24458.6	33542.8	46534.9	33184.9		
O75347	O75347		TBCA		99067	96694.7	100529	94058.9	90648.6	97022.4	89598.5	120803	97880.7	113357	115539	116694	97583.8	96073.9	95201.6	96501.7	97787.5	93932.2	88721.8	93483.3	101623	100394	102456	109092		
